external_study,cohort_type,type_tag,n_total,n_healthy,n_disease,n_correct,metric_name,facet_group,metric,ci_lower,ci_upper,model_type,omitted_training_study,input_taxa_n,retained_taxa_n,lambda_1se
KartalE_2022,Mixed,CC,44,17,27,,AUC,"Case-control cohorts
(AUC)",0.313725490196078,,,LODO models,VQuintanaL_2024,172,45,0.0453596050839319
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,,AUC,"Case-control cohorts
(AUC)",0.929292929292929,,,LODO models,VQuintanaL_2024,172,45,0.0453596050839319
LassalleF_2017,Healthy-only,H-only,24,24,0,2,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.0833333333333333,,,LODO models,VQuintanaL_2024,172,45,0.0453596050839319
NagataN_2022,Mixed,CC,282,235,47,,AUC,"Case-control cohorts
(AUC)",0.625169760072431,,,LODO models,VQuintanaL_2024,172,45,0.0453596050839319
PlachokovaA_2021,Disease-only,D-only,7,0,7,7,Disease CCR,Single-class cohorts: expected-direction classification rate,1,,,LODO models,VQuintanaL_2024,172,45,0.0453596050839319
ShalonD_2023,Healthy-only,H-only,29,29,0,14,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.482758620689655,,,LODO models,VQuintanaL_2024,172,45,0.0453596050839319
SunBY_2021,Mixed,CC,18,6,12,,AUC,"Case-control cohorts
(AUC)",0.930555555555556,,,LODO models,VQuintanaL_2024,172,45,0.0453596050839319
BelstromD_2021,Mixed,CC,78,36,42,,AUC,"Case-control cohorts
(AUC)",0.801587301587302,,,LODO models,ShaiberA_2020,174,48,0.0397471901633434
BritoIL_2016,Healthy-only,H-only,115,115,0,34,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.295652173913044,,,LODO models,ShaiberA_2020,174,48,0.0397471901633434
CaselliE_2020,Healthy-only,H-only,54,54,0,40,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.740740740740741,,,LODO models,ShaiberA_2020,174,48,0.0397471901633434
ChenQB_2024,Mixed,CC,90,19,71,,AUC,"Case-control cohorts
(AUC)",0.630096367679763,,,LODO models,ShaiberA_2020,174,48,0.0397471901633434
KartalE_2022,Mixed,CC,44,17,27,,AUC,"Case-control cohorts
(AUC)",0.337690631808279,,,LODO models,ShaiberA_2020,174,48,0.0397471901633434
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,,AUC,"Case-control cohorts
(AUC)",0.878787878787879,,,LODO models,ShaiberA_2020,174,48,0.0397471901633434
LassalleF_2017,Healthy-only,H-only,24,24,0,3,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.125,,,LODO models,ShaiberA_2020,174,48,0.0397471901633434
NagataN_2022,Mixed,CC,282,235,47,,AUC,"Case-control cohorts
(AUC)",0.624083295608873,,,LODO models,ShaiberA_2020,174,48,0.0397471901633434
PlachokovaA_2021,Disease-only,D-only,7,0,7,7,Disease CCR,Single-class cohorts: expected-direction classification rate,1,,,LODO models,ShaiberA_2020,174,48,0.0397471901633434
ShalonD_2023,Healthy-only,H-only,29,29,0,12,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.413793103448276,,,LODO models,ShaiberA_2020,174,48,0.0397471901633434
SunBY_2021,Mixed,CC,18,6,12,,AUC,"Case-control cohorts
(AUC)",0.930555555555556,,,LODO models,ShaiberA_2020,174,48,0.0397471901633434
BelstromD_2021,Mixed,CC,78,36,42,,AUC,"Case-control cohorts
(AUC)",0.837301587301587,,,LODO models,JiangQ_2021,171,48,0.0428434625517111
BritoIL_2016,Healthy-only,H-only,115,115,0,42,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.365217391304348,,,LODO models,JiangQ_2021,171,48,0.0428434625517111
CaselliE_2020,Healthy-only,H-only,54,54,0,44,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.814814814814815,,,LODO models,JiangQ_2021,171,48,0.0428434625517111
ChenQB_2024,Mixed,CC,90,19,71,,AUC,"Case-control cohorts
(AUC)",0.622683469236471,,,LODO models,JiangQ_2021,171,48,0.0428434625517111
KartalE_2022,Mixed,CC,44,17,27,,AUC,"Case-control cohorts
(AUC)",0.359477124183007,,,LODO models,JiangQ_2021,171,48,0.0428434625517111
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,,AUC,"Case-control cohorts
(AUC)",0.919191919191919,,,LODO models,JiangQ_2021,171,48,0.0428434625517111
LassalleF_2017,Healthy-only,H-only,24,24,0,3,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.125,,,LODO models,JiangQ_2021,171,48,0.0428434625517111
NagataN_2022,Mixed,CC,282,235,47,,AUC,"Case-control cohorts
(AUC)",0.614848347668628,,,LODO models,JiangQ_2021,171,48,0.0428434625517111
PlachokovaA_2021,Disease-only,D-only,7,0,7,7,Disease CCR,Single-class cohorts: expected-direction classification rate,1,,,LODO models,JiangQ_2021,171,48,0.0428434625517111
ShalonD_2023,Healthy-only,H-only,29,29,0,14,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.482758620689655,,,LODO models,JiangQ_2021,171,48,0.0428434625517111
SunBY_2021,Mixed,CC,18,6,12,,AUC,"Case-control cohorts
(AUC)",0.930555555555556,,,LODO models,JiangQ_2021,171,48,0.0428434625517111
BelstromD_2021,Mixed,CC,78,36,42,,AUC,"Case-control cohorts
(AUC)",0.82473544973545,,,LODO models,BelstromD_2017,173,40,0.0460169754679274
BritoIL_2016,Healthy-only,H-only,115,115,0,43,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.373913043478261,,,LODO models,BelstromD_2017,173,40,0.0460169754679274
CaselliE_2020,Healthy-only,H-only,54,54,0,43,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.796296296296296,,,LODO models,BelstromD_2017,173,40,0.0460169754679274
ChenQB_2024,Mixed,CC,90,19,71,,AUC,"Case-control cohorts
(AUC)",0.664195700518903,,,LODO models,BelstromD_2017,173,40,0.0460169754679274
KartalE_2022,Mixed,CC,44,17,27,,AUC,"Case-control cohorts
(AUC)",0.352941176470588,,,LODO models,BelstromD_2017,173,40,0.0460169754679274
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,,AUC,"Case-control cohorts
(AUC)",0.919191919191919,,,LODO models,BelstromD_2017,173,40,0.0460169754679274
LassalleF_2017,Healthy-only,H-only,24,24,0,2,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.0833333333333333,,,LODO models,BelstromD_2017,173,40,0.0460169754679274
NagataN_2022,Mixed,CC,282,235,47,,AUC,"Case-control cohorts
(AUC)",0.623992756903576,,,LODO models,BelstromD_2017,173,40,0.0460169754679274
PlachokovaA_2021,Disease-only,D-only,7,0,7,7,Disease CCR,Single-class cohorts: expected-direction classification rate,1,,,LODO models,BelstromD_2017,173,40,0.0460169754679274
ShalonD_2023,Healthy-only,H-only,29,29,0,14,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.482758620689655,,,LODO models,BelstromD_2017,173,40,0.0460169754679274
SunBY_2021,Mixed,CC,18,6,12,,AUC,"Case-control cohorts
(AUC)",0.902777777777778,,,LODO models,BelstromD_2017,173,40,0.0460169754679274
BelstromD_2021,Mixed,CC,78,36,42,,AUC,"Case-control cohorts
(AUC)",0.816798941798942,,,LODO models,LiYJ_2023,173,52,0.0344486396213317
BritoIL_2016,Healthy-only,H-only,115,115,0,40,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.347826086956522,,,LODO models,LiYJ_2023,173,52,0.0344486396213317
CaselliE_2020,Healthy-only,H-only,54,54,0,44,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.814814814814815,,,LODO models,LiYJ_2023,173,52,0.0344486396213317
ChenQB_2024,Mixed,CC,90,19,71,,AUC,"Case-control cohorts
(AUC)",0.623424759080801,,,LODO models,LiYJ_2023,173,52,0.0344486396213317
KartalE_2022,Mixed,CC,44,17,27,,AUC,"Case-control cohorts
(AUC)",0.34640522875817,,,LODO models,LiYJ_2023,173,52,0.0344486396213317
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,,AUC,"Case-control cohorts
(AUC)",0.898989898989899,,,LODO models,LiYJ_2023,173,52,0.0344486396213317
LassalleF_2017,Healthy-only,H-only,24,24,0,2,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.0833333333333333,,,LODO models,LiYJ_2023,173,52,0.0344486396213317
