level,alpha,prev_cutoff,total_taxa_n,input_taxa_n,retained_taxa_n,train_cv_auc,train_cv_auc_ci_lower,train_cv_auc_ci_upper,train_auc,train_auc_ci_lower,train_auc_ci_upper,external_auc,external_auc_ci_lower,external_auc_ci_upper,train_loso_mean,train_loso_sd,train_isv_mean,train_isv_weighted_mean,train_loso_weighted_mean,status,rank_within_level,is_best
genus,1,0.1,415,152,39,0.79457409479318,0.764358831605768,0.824789357980591,0.829016723931229,0.80502994635499,0.853003501507468,0.698006644518272,0.657131175806567,0.738882113229978,0.647911815196169,0.0899868462314607,0.47666060353569,0.461084404829002,0.620566847942987,OK,6,FALSE
genus,1,0.2,415,101,37,0.758278497446914,0.732260311034849,0.78429668385898,0.80459054163569,0.779032180130091,0.830148903141289,0.667169264843683,0.625460527314362,0.708878002373005,0.632530376657654,0.116757462495287,0.493863295127494,0.468892498784174,0.581580254044067,OK,14,FALSE
genus,1,0.3,415,74,26,0.746704796283347,0.730487618634299,0.762921973932395,0.785016777512106,0.757983826468426,0.812049728555786,0.618332055541358,0.575076601785083,0.661587509297632,0.624981519478657,0.0904562728242889,0.48982105198629,0.488856318064202,0.590902889924847,OK,11,FALSE
order,0.1,0.01,129,87,37,0.736717305812755,0.703876195030615,0.769558416594894,0.771129283958555,0.743758996453697,0.798499571463414,0.681676463071812,0.641221717988604,0.72213120815502,0.592925413334566,0.128608652795798,0.49246673461655,0.472470942615856,0.579093660907632,OK,14,FALSE
order,0.1,0.05,129,70,34,0.731687372017051,0.697700088076526,0.765674655957577,0.763644705204712,0.735882182087969,0.791407228321456,0.664366641110827,0.623234291099452,0.705498991122203,0.596560845894932,0.125433982208163,0.496180917060581,0.473464779054562,0.585017886519364,OK,9,FALSE
order,0.1,0.1,129,63,34,0.734971123147705,0.701863085014885,0.768079161280524,0.765898450842894,0.738248088717345,0.793548812968444,0.659442882698697,0.618172505995593,0.700713259401801,0.589044742173518,0.131933799478269,0.509013185647817,0.482637222745622,0.580305937795461,OK,13,FALSE
order,0.1,0.2,129,52,26,0.716467304983533,0.680519052973786,0.752415556993281,0.742701279913199,0.713828726135948,0.77157383369045,0.645668285203169,0.60422847938368,0.687108091022658,0.580929526162054,0.118561797911686,0.505289903997137,0.488438792995503,0.570715375786143,OK,15,FALSE
order,0.1,0.3,129,43,21,0.691944263276866,0.650471048817903,0.733417477735829,0.716892041230485,0.686733218088515,0.747050864372455,0.656563591447312,0.614577864350596,0.698549318544029,0.611160670147607,0.0960268805464406,0.494089801641713,0.479541208823561,0.592432289280825,OK,3,FALSE
order,0.5,0.01,129,87,40,0.737803317623279,0.708807389650843,0.766799245595715,0.781135512735505,0.754326467095255,0.807944558375755,0.686046511627907,0.645530189060452,0.726562834195362,0.61442418221031,0.113689625601942,0.492852538810982,0.477361758862805,0.58386365558539,OK,10,FALSE
order,0.5,0.05,129,70,32,0.731487634999742,0.700875684023263,0.762099585976222,0.771534489340754,0.744182135066641,0.798886843614868,0.67147968310759,0.630315455636661,0.712643910578519,0.61340802478265,0.111211240835585,0.498406247094011,0.482314367380447,0.588240006206151,OK,5,FALSE
